sequence,method_id,readable_name,family,comparison_type,audit_status,version,mask_protocol,baseline,next_decision,failure_reason,JM_or_mask_JM,JR,F,PSNR_proxy,PSNR_synthetic,SSIM,n_frames,routing_or_prompt,quality_note,metrics_source,mask_frames,masked_in,inpaint_out,script_path,config_path,deliverable_dir,plain_explanation,current_takeaway
blackswan,sdxl_kf5_propainter_fixed_mask,SDXL kf5 + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/blackswan/mask_frames,/data3/jli657/project3/part3/results/blackswan/direction_c/sdxl_kf5_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/blackswan/direction_c/sdxl_kf5_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/sdxl_kf5_propainter_fixed_mask,这是先用 SDXL 修关键帧，再让 ProPainter 传播到全视频的路线。,它在部分序列有视觉提升，但不是每个序列都比纯 ProPainter 稳。
car-shadow,sdxl_kf5_propainter_fixed_mask,SDXL kf5 + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/car-shadow/mask_frames,/data3/jli657/project3/part3/results/car-shadow/direction_c/sdxl_kf5_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/car-shadow/direction_c/sdxl_kf5_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/sdxl_kf5_propainter_fixed_mask,这是先用 SDXL 修关键帧，再让 ProPainter 传播到全视频的路线。,它在部分序列有视觉提升，但不是每个序列都比纯 ProPainter 稳。
horsejump-low,sdxl_kf5_propainter_fixed_mask,SDXL kf5 + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/horsejump-low/mask_frames,/data3/jli657/project3/part3/results/horsejump-low/direction_c/sdxl_kf5_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/horsejump-low/direction_c/sdxl_kf5_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/sdxl_kf5_propainter_fixed_mask,这是先用 SDXL 修关键帧，再让 ProPainter 传播到全视频的路线。,它在部分序列有视觉提升，但不是每个序列都比纯 ProPainter 稳。
koala,sdxl_kf5_propainter_fixed_mask,SDXL kf5 + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/koala/mask_frames,/data3/jli657/project3/part3/results/koala/direction_c/sdxl_kf5_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/koala/direction_c/sdxl_kf5_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/koala/sdxl_kf5_propainter_fixed_mask,这是先用 SDXL 修关键帧，再让 ProPainter 传播到全视频的路线。,它在部分序列有视觉提升，但不是每个序列都比纯 ProPainter 稳。
wild_video-1person,sdxl_kf5_propainter_fixed_mask,SDXL kf5 + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/wild_video-1person/mask_frames,/data3/jli657/project3/part3/results/wild_video-1person/direction_c/sdxl_kf5_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/wild_video-1person/direction_c/sdxl_kf5_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/wild_video-1person/sdxl_kf5_propainter_fixed_mask,这是先用 SDXL 修关键帧，再让 ProPainter 传播到全视频的路线。,它在部分序列有视觉提升，但不是每个序列都比纯 ProPainter 稳。
tennis,lama_propainter_fixed_mask,LaMa + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,34.6778,8.9157,nan,70,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/results/evaluation_summary.csv,/data3/jli657/project3/part3/results/tennis/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/lama_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/lama_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/lama_propainter_fixed_mask,这是先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。,它是很好的大遮挡对照路线，尤其适合和 SDXL 做工具层面对比。
bmx-trees,lama_propainter_fixed_mask,LaMa + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/bmx-trees/mask_frames,/data3/jli657/project3/part3/results/bmx-trees/direction_c/lama_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/bmx-trees/direction_c/lama_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/lama_propainter_fixed_mask,这是先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。,它是很好的大遮挡对照路线，尤其适合和 SDXL 做工具层面对比。
blackswan,lama_propainter_fixed_mask,LaMa + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/blackswan/mask_frames,/data3/jli657/project3/part3/results/blackswan/direction_c/lama_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/blackswan/direction_c/lama_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/lama_propainter_fixed_mask,这是先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。,它是很好的大遮挡对照路线，尤其适合和 SDXL 做工具层面对比。
car-shadow,lama_propainter_fixed_mask,LaMa + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/car-shadow/mask_frames,/data3/jli657/project3/part3/results/car-shadow/direction_c/lama_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/car-shadow/direction_c/lama_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/lama_propainter_fixed_mask,这是先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。,它是很好的大遮挡对照路线，尤其适合和 SDXL 做工具层面对比。
horsejump-low,lama_propainter_fixed_mask,LaMa + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/horsejump-low/mask_frames,/data3/jli657/project3/part3/results/horsejump-low/direction_c/lama_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/horsejump-low/direction_c/lama_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/lama_propainter_fixed_mask,这是先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。,它是很好的大遮挡对照路线，尤其适合和 SDXL 做工具层面对比。
koala,lama_propainter_fixed_mask,LaMa + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/koala/mask_frames,/data3/jli657/project3/part3/results/koala/direction_c/lama_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/koala/direction_c/lama_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/koala/lama_propainter_fixed_mask,这是先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。,它是很好的大遮挡对照路线，尤其适合和 SDXL 做工具层面对比。
wild_video-1person,lama_propainter_fixed_mask,LaMa + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/wild_video-1person/mask_frames,/data3/jli657/project3/part3/results/wild_video-1person/direction_c/lama_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/wild_video-1person/direction_c/lama_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/wild_video-1person/lama_propainter_fixed_mask,这是先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。,它是很好的大遮挡对照路线，尤其适合和 SDXL 做工具层面对比。
tennis,controlnet_pure_propainter_fixed_mask,ControlNet 消融：纯 ProPainter,direction_c,inpaint_only,stable,legacy,,,,,1.0000,1.0000,,34.9782,26.5348,0.9945,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/tennis/local_masks,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/tennis/propainter_pure/tennis/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/tennis/propainter_pure/tennis/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/controlnet_pure_propainter_fixed_mask,这是在 ControlNet 消融里保留原始帧、直接走 ProPainter 的对照组。,它是 ControlNet 消融里的基线方法，经常被推荐为最终选择。
bmx-trees,controlnet_pure_propainter_fixed_mask,ControlNet 消融：纯 ProPainter,direction_c,inpaint_only,stable,legacy,,,,,1.0000,1.0000,,35.0082,31.9388,0.9975,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bmx-trees/local_masks,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bmx-trees/propainter_pure/bmx-trees/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bmx-trees/propainter_pure/bmx-trees/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/controlnet_pure_propainter_fixed_mask,这是在 ControlNet 消融里保留原始帧、直接走 ProPainter 的对照组。,它是 ControlNet 消融里的基线方法，经常被推荐为最终选择。
koala,controlnet_pure_propainter_fixed_mask,ControlNet 消融：纯 ProPainter,direction_c,inpaint_only,stable,legacy,,,,,1.0000,1.0000,,30.6999,19.9011,0.9920,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/koala/local_masks,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/koala/propainter_pure/koala/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/koala/propainter_pure/koala/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/koala/controlnet_pure_propainter_fixed_mask,这是在 ControlNet 消融里保留原始帧、直接走 ProPainter 的对照组。,它是 ControlNet 消融里的基线方法，经常被推荐为最终选择。
bear,controlnet_pure_propainter_fixed_mask,ControlNet 消融：纯 ProPainter,direction_c,inpaint_only,stable,legacy,,,,,1.0000,1.0000,,31.0590,23.6331,0.9875,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bear/local_masks,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bear/propainter_pure/bear/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bear/propainter_pure/bear/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/bear/controlnet_pure_propainter_fixed_mask,这是在 ControlNet 消融里保留原始帧、直接走 ProPainter 的对照组。,它是 ControlNet 消融里的基线方法，经常被推荐为最终选择。
camel,controlnet_pure_propainter_fixed_mask,ControlNet 消融：纯 ProPainter,direction_c,inpaint_only,stable,legacy,,,,,1.0000,1.0000,,30.2338,24.2315,0.9933,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/camel/local_masks,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/camel/propainter_pure/camel/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/camel/propainter_pure/camel/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/camel/controlnet_pure_propainter_fixed_mask,这是在 ControlNet 消融里保留原始帧、直接走 ProPainter 的对照组。,它是 ControlNet 消融里的基线方法，经常被推荐为最终选择。
tennis,controlnet_hybrid_propainter_fixed_mask,ControlNet 消融：hybrid,direction_c,inpaint_only,exploratory,legacy,,,,,1.0000,1.0000,,34.6397,26.4158,0.9929,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/tennis/local_masks,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/tennis/propainter_hybrid/hybrid_frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/tennis/propainter_hybrid/hybrid_frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/controlnet_hybrid_propainter_fixed_mask,这是先做关键帧生成式修复，再与原视频拼成 hybrid frames 后交给 ProPainter。,它能展示思路，但当前大多数情况下不如纯 ProPainter 稳。
bmx-trees,controlnet_hybrid_propainter_fixed_mask,ControlNet 消融：hybrid,direction_c,inpaint_only,exploratory,legacy,,,,,1.0000,1.0000,,34.5878,31.6322,0.9962,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bmx-trees/local_masks,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bmx-trees/propainter_hybrid/hybrid_frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bmx-trees/propainter_hybrid/hybrid_frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/controlnet_hybrid_propainter_fixed_mask,这是先做关键帧生成式修复，再与原视频拼成 hybrid frames 后交给 ProPainter。,它能展示思路，但当前大多数情况下不如纯 ProPainter 稳。
koala,controlnet_hybrid_propainter_fixed_mask,ControlNet 消融：hybrid,direction_c,inpaint_only,exploratory,legacy,,,,,1.0000,1.0000,,30.6104,19.9076,0.9918,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/koala/local_masks,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/koala/propainter_hybrid/hybrid_frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/koala/propainter_hybrid/hybrid_frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/koala/controlnet_hybrid_propainter_fixed_mask,这是先做关键帧生成式修复，再与原视频拼成 hybrid frames 后交给 ProPainter。,它能展示思路，但当前大多数情况下不如纯 ProPainter 稳。
bear,controlnet_hybrid_propainter_fixed_mask,ControlNet 消融：hybrid,direction_c,inpaint_only,exploratory,legacy,,,,,1.0000,1.0000,,30.7198,23.5405,0.9831,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bear/local_masks,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bear/propainter_hybrid/hybrid_frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bear/propainter_hybrid/hybrid_frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/bear/controlnet_hybrid_propainter_fixed_mask,这是先做关键帧生成式修复，再与原视频拼成 hybrid frames 后交给 ProPainter。,它能展示思路，但当前大多数情况下不如纯 ProPainter 稳。
camel,controlnet_hybrid_propainter_fixed_mask,ControlNet 消融：hybrid,direction_c,inpaint_only,exploratory,legacy,,,,,1.0000,1.0000,,29.9429,24.1311,0.9917,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/camel/local_masks,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/camel/propainter_hybrid/hybrid_frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/camel/propainter_hybrid/hybrid_frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/camel/controlnet_hybrid_propainter_fixed_mask,这是先做关键帧生成式修复，再与原视频拼成 hybrid frames 后交给 ProPainter。,它能展示思路，但当前大多数情况下不如纯 ProPainter 稳。
tennis,controlnet_hybrid_tc_propainter_fixed_mask,ControlNet 消融：hybrid + temporal consistency,direction_c,inpaint_only,exploratory,legacy,,,,,1.0000,1.0000,,34.9748,26.5334,0.9945,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/tennis/propainter_hybrid_tc/hybrid_tc_frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/tennis/propainter_hybrid_tc/hybrid_tc_frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/controlnet_hybrid_tc_propainter_fixed_mask,这是在 hybrid 的基础上，再加一层更保守的时序一致性处理。,这是个合理尝试，但目前仍然很难整体超过纯 ProPainter。
bmx-trees,controlnet_hybrid_tc_propainter_fixed_mask,ControlNet 消融：hybrid + temporal consistency,direction_c,inpaint_only,exploratory,legacy,,,,,1.0000,1.0000,,35.0024,31.9386,0.9975,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bmx-trees/propainter_hybrid_tc/hybrid_tc_frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bmx-trees/propainter_hybrid_tc/hybrid_tc_frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/controlnet_hybrid_tc_propainter_fixed_mask,这是在 hybrid 的基础上，再加一层更保守的时序一致性处理。,这是个合理尝试，但目前仍然很难整体超过纯 ProPainter。
koala,controlnet_hybrid_tc_propainter_fixed_mask,ControlNet 消融：hybrid + temporal consistency,direction_c,inpaint_only,exploratory,legacy,,,,,1.0000,1.0000,,30.7103,19.8966,0.9920,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/koala/propainter_hybrid_tc/hybrid_tc_frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/koala/propainter_hybrid_tc/hybrid_tc_frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/koala/controlnet_hybrid_tc_propainter_fixed_mask,这是在 hybrid 的基础上，再加一层更保守的时序一致性处理。,这是个合理尝试，但目前仍然很难整体超过纯 ProPainter。
bear,controlnet_hybrid_tc_propainter_fixed_mask,ControlNet 消融：hybrid + temporal consistency,direction_c,inpaint_only,exploratory,legacy,,,,,1.0000,1.0000,,31.0667,23.6210,0.9876,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bear/propainter_hybrid_tc/hybrid_tc_frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/bear/propainter_hybrid_tc/hybrid_tc_frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/bear/controlnet_hybrid_tc_propainter_fixed_mask,这是在 hybrid 的基础上，再加一层更保守的时序一致性处理。,这是个合理尝试，但目前仍然很难整体超过纯 ProPainter。
camel,controlnet_hybrid_tc_propainter_fixed_mask,ControlNet 消融：hybrid + temporal consistency,direction_c,inpaint_only,exploratory,legacy,,,,,1.0000,1.0000,,30.2324,24.2261,0.9933,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/summary_5seq.json,,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/camel/propainter_hybrid_tc/hybrid_tc_frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/controlnet/ablation_5seq/camel/propainter_hybrid_tc/hybrid_tc_frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_controlnet_ablation_5seq.py,,/data3/jli657/project3/part3/part3_deliverables/camel/controlnet_hybrid_tc_propainter_fixed_mask,这是在 hybrid 的基础上，再加一层更保守的时序一致性处理。,这是个合理尝试，但目前仍然很难整体超过纯 ProPainter。
tennis,sdxl_interval10_legacy_fixed_mask,旧版 SDXL interval10 + ProPainter,direction_c,inpaint_only,legacy,legacy,,,,,0.7860,0.9571,,32.6079,25.9710,0.9925,,,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/metrics_part3_sdxl_tennis.json,/data3/jli657/project3/part3/results/tennis/mask_frames,/data3/jli657/project3/part3/outputs/keyframe_sdxl/tennis/interval10/propainter_output/frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/keyframe_sdxl/tennis/interval10/propainter_output/frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_keyframe_sdxl_propainter.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/sdxl_interval10_legacy_fixed_mask,这是更早一版的 SDXL 关键帧路线，间隔更大，只覆盖两条序列。,它应该保留在台账里，但属于旧版对照，不是现在主推配置。
bmx-trees,sdxl_interval10_legacy_fixed_mask,旧版 SDXL interval10 + ProPainter,direction_c,inpaint_only,legacy,legacy,,,,,0.4690,0.4375,,32.1659,29.4746,0.9960,,,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/metrics_part3_sdxl_bmx.json,/data3/jli657/project3/part3/results/bmx-trees/mask_frames,/data3/jli657/project3/part3/outputs/keyframe_sdxl/bmx-trees/interval10/propainter_output/frames/masked_in.mp4,/data3/jli657/project3/part3/outputs/keyframe_sdxl/bmx-trees/interval10/propainter_output/frames/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_keyframe_sdxl_propainter.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/sdxl_interval10_legacy_fixed_mask,这是更早一版的 SDXL 关键帧路线，间隔更大，只覆盖两条序列。,它应该保留在台账里，但属于旧版对照，不是现在主推配置。
koala,koala_void_full_pipeline,Koala VOID 生成式视频修复,direction_c,full_pipeline,exploratory,legacy,,,,,,,,13.1300,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,/data3/jli657/project3/part3/outputs/koala_diffusion/koala_experiment_summary.json,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/koala,/data3/jli657/project3/part3/outputs/koala_diffusion/void/final_output/masked_in.mp4,/data3/jli657/project3/part3/outputs/koala_diffusion/void/final_output/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_void_koala.py,,/data3/jli657/project3/part3/part3_deliverables/koala/koala_void_full_pipeline,这是生成式视频修复方向的探索，不再是传统的先 mask 再补洞那种保守路线。,它可以作为创新方向保留，但当前更像探索性结果，不适合直接当稳定主线。
tennis,a_plus_b_best_full_pipeline,A+B Best 按序列选优完整流程,fusion,full_pipeline,stable,legacy,,,,,0.9468,,,35.1285,9.0410,0.9264,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,/home/jli657/my_storage2_1T/project3/eval/unified_eval_v2.csv,/data3/jli657/project3/part3/results_v2/tennis/a_plus_b_best/propainter/masks_dilated,/data3/jli657/project3/part3/results_v2/tennis/a_plus_b_best/propainter/tennis/masked_in.mp4,/data3/jli657/project3/part3/results_v2/tennis/a_plus_b_best/propainter/tennis/inpaint_out.mp4,/data3/jli657/project3/part3/pipeline/run_a3_best_pipeline.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/a_plus_b_best_full_pipeline,这是当前最强的汇总版本：每个序列选当下最好的 mask 来源，再接 ProPainter。,它适合作为当前最优结果，但报告里必须讲清楚它是按序列路由选优，不是单一方法无脑统治全部序列。
